regex,match
(l*l)*l*,True
k*|s***,True
Q*(Q|Q**Q)*Q*,True
C**,True
H*|g**,True
(V*f**)*,True
nY*|(s*|kS**)*,True
(K*|K*|K**)**,True
(v|v*)**,True
(ij*)*|t*,True
s*((l|B*)oF*)*,True
(T*A*)**,True
(R*(o|l)(i*|g)*h*h)*,True
(ii*i*)**Bf,False
YL(U*(cD)*)*,True
((P*dz*)**p*)*,True
z(q*|k*O**|HL*)**,True
q(b*D)*(D*|d)*,True
(r(k(u*d*)*)*O)*Z,False
o(r***(H*j*|D*))*,True
(C***r*)**,True
QJ*|q|(M(un)*|B)*|C,False
Q***|(Y*Fu)*,True
(C*|L*(Q*s|x)*)**,True
(o*|I|dC)**L*|F,False
p*|u*|(O|dc**)*,True
((n*xZ*j*)*m|r*)*,True
YN(l**|u*)a(Hc|E*)|l,False
((wN*O*d)**|l)*X,False
C(W*(Q*(Q*j*|N))*)*,True
(C|J**)**J*,True
c(h*(nbW*G)*)*B**,True
(i(t|((n|V|N)I|w*)*)|P*)*,True
(Ty*z*I((dE)*|K*X*))*,True
W*|(eU|o**M)*Z,False
r(T((CU*)*mt*)*H*)**,True
((L*L)*(w**Q)*|r*w*Z*)*X*,True
g(Bp(X((Ac)*g)*j(W*X*)*x)*)*,True
(r(V*|I*d*))*,True
(M*b)*,True
q***,True
r**O*,True
y**,True
S***,True
v**,True
Q**,True
H**,True
f*GD*V*,True
X**,True
I(f|f)*,True
G**,True
P**,True
X**,True
t**,True
a|(aa**a|aa*)*,True
l**,True
o****,True
E**,True
(Sa*)****,True
F**,True
T*p|(A|A**)*|A,False
J**,True
G**,True
(NU|DZ)***S,False
E***,True
(c*|v*)*,True
Q*D**,True
(Oj*)*,True
(I*n*)*,True
M*N***,True
(I*K*)*m,False
e***|X*,True
X|(C*|S*)*,True
(XD*)*FuC,False
B*(S|E*)*|m,False
Jd***,True
x*h(Q*|P)*,True
(Y*|m*)*,True
((f*k|r**P**)*|M)*,True
(KP)*i***|T|S*,True
